39.44272446,3.529411765,,max length (mm),76.40866873,,Normalized muscle lengths,Normalized rel tension
41.79566563,1.882352941,,max rel tension (%p),99.52941176,,0.516207455,0.035460993
37.3993808,9.882352941,,,,,0.547001621,0.01891253
38.39009288,14.58823529,,,,,0.489465154,0.09929078
41.42414861,14.58823529,,,,,0.502431118,0.146572104
41.42414861,15.76470588,,,,,0.542139384,0.146572104
40.43343653,17.64705882,,,,,0.542139384,0.158392435
40.37151703,21.17647059,,,,,0.52917342,0.177304965
39.25696594,24.23529412,,,,,0.528363047,0.212765957
41.42414861,26.58823529,,,,,0.513776337,0.243498818
41.3622291,31.76470588,,,,,0.542139384,0.26713948
42.04334365,32,,,,,0.541329011,0.319148936
40.43343653,36.70588235,,,,,0.550243112,0.321513002
43.40557276,34.82352941,,,,,0.52917342,0.368794326
42.91021672,23.52941176,,,,,0.568071313,0.349881797
43.40557276,23.52941176,,,,,0.561588331,0.236406619
43.83900929,22.11764706,,,,,0.568071313,0.236406619
45.57275542,43.52941176,,,,,0.573743922,0.222222222
45.57275542,46.35294118,,,,,0.59643436,0.437352246
46.6873065,44.94117647,,,,,0.59643436,0.46572104
44.39628483,45.41176471,,,,,0.61102107,0.451536643
43.40557276,44.70588235,,,,,0.581037277,0.456264775
42.53869969,41.88235294,,,,,0.568071313,0.449172577
42.84829721,46.35294118,,,,,0.556726094,0.420803783
42.84829721,48,,,,,0.560777958,0.46572104
43.15789474,50.11764706,,,,,0.560777958,0.482269504
43.46749226,53.88235294,,,,,0.564829822,0.503546099
43.71517028,56.94117647,,,,,0.568881686,0.541371158
44.39628483,60.47058824,,,,,0.572123177,0.572104019
46.43962848,62.35294118,,,,,0.581037277,0.607565012
47.43034056,62.35294118,,,,,0.607779579,0.626477541
47.73993808,66.58823529,,,,,0.620745543,0.626477541
48.97832817,62.82352941,,,,,0.624797407,0.669030733
45.69659443,67.52941176,,,,,0.641004862,0.631205674
45.94427245,70.58823529,,,,,0.598055105,0.678486998
46.43962848,71.52941176,,,,,0.601296596,0.709219858
46.43962848,73.64705882,,,,,0.607779579,0.718676123
46.6873065,75.29411765,,,,,0.607779579,0.739952719
47.43034056,71.52941176,,,,,0.61102107,0.756501182
47.12074303,80.23529412,,,,,0.620745543,0.718676123
47.55417957,81.41176471,,,,,0.616693679,0.806146572
47.43034056,81.17647059,,,,,0.622366288,0.817966903
48.17337461,83.05882353,,,,,0.620745543,0.815602837
48.91640867,84.94117647,,,,,0.630470016,0.834515366
48.97832817,81.64705882,,,,,0.640194489,0.853427896
49.78328173,81.41176471,,,,,0.641004862,0.820330969
49.78328173,84.70588235,,,,,0.651539708,0.817966903
49.65944272,86.35294118,,,,,0.651539708,0.85106383
50.27863777,87.29411765,,,,,0.649918963,0.867612293
50.6501548,86.82352941,,,,,0.65802269,0.877068558
50.6501548,84.70588235,,,,,0.662884927,0.872340426
50.95975232,79.76470588,,,,,0.662884927,0.85106383
50.77399381,77.64705882,,,,,0.666936791,0.80141844
51.20743034,78.11764706,,,,,0.664505673,0.780141844
50.58823529,74.11764706,,,,,0.670178282,0.784869976
49.41176471,75.76470588,,,,,0.662074554,0.744680851
53.56037152,78.58823529,,,,,0.646677472,0.761229314
53.56037152,83.29411765,,,,,0.700972447,0.789598109
53.25077399,88.47058824,,,,,0.700972447,0.836879433
52.63157895,88.94117647,,,,,0.696920583,0.888888889
51.51702786,89.41176471,,,,,0.688816856,0.893617021
51.70278638,90.58823529,,,,,0.674230146,0.898345154
50.6501548,90.35294118,,,,,0.676661264,0.910165485
45.3869969,53.64705882,,,,,0.662884927,0.907801418
45.26315789,54.11764706,,,,,0.594003241,0.539007092
